Login,jon.brown,Dell,Jul-17-2016,10:35:08,
Login,jon.brown,Dell,Jul-17-2016,14:31:44,
Log Out,jon.brown,Dell,Jul-17-2016,14:43:55,
Login,jon.brown,Dell,Jul-17-2016,14:43:56,
Log Out,jon.brown,Dell,Jul-17-2016,14:54:10,
Login,jon.brown,Dell,Jul-17-2016,14:54:14,
Log Out,jon.brown,Dell,Jul-17-2016,14:54:18,
Login,jon.brown,Dell,Jul-17-2016,14:55:26,
Log Out,jon.brown,Dell,Jul-17-2016,15:08:59,
Login,jon.brown,Dell,Jul-17-2016,15:09:31,
Log Out,jon.brown,Dell,Jul-17-2016,15:10:06,
Login,jon.brown,Dell,Jul-17-2016,15:11:23,
Log Out,jon.brown,Dell,Jul-17-2016,15:58:15,
Login,jon.brown,Dell,Jul-17-2016,15:59:33,
Log Out,jon.brown,Dell,Jul-17-2016,15:59:51,
Login,jon.brown,Dell,Jul-17-2016,16:34:42,
